Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,country
18,4,2011,5,Primula veris,0.018666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Hippocrepis comosa,0.02,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Euphorbia cyparissias,0.14,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Fragaria viridis,0.000666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Potentilla verna,0.033333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Thlaspi perfoliatum,0.000133333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Primula veris,0.186666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Viola canina,0.002,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Fragaria viridis,0.000666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Euphorbia cyparissias,0.014,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Prunus spinosa,0.01,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Potentilla verna,0.000666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Potentilla verna,0.026666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Hippocrepis comosa,0.001666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Primula veris,0.026666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Euphorbia cyparissias,0.011666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Viola canina,0.005333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Brassicaceae ,0.00016,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,5,Fragaria viridis,0.000266667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Potentilla verna,0.002333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Euphorbia cyparissias,0.072,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Primula veris,0.009066667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Viola canina,0.002,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Fragaria viridis,0.004,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Ranunculus auricomus,0.001,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
18,4,2011,11,Vicia sepium,0.000373333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Taraxacum officinale,0.14,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Euphorbia cyparissias,0.35,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Viola canina,0.004666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Potentilla verna,0.053333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Ajuga genevensis,0.0005,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Fragaria viridis,0.0002,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,9,Ranunculus auricomus,0.056666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,9,Primula veris,0.053333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,9,Viola canina,0.04,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Cerastium arvense,0.007,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Dianthus carthusianorum,0.0002,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Potentilla verna,0.000466667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Fabaceae ,8.33333E-05,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Euphorbia cyparissias,0.116666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Potentilla verna,0.233333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Taraxacum officinale,0.028,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Pulsatilla vulgaris,0.000666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Thlaspi perfoliatum,6.66667E-05,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,10,Hippocrepis comosa,0.008,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,9,Primula veris,0.042666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,9,Viola canina,0.009333333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Anchusa arvensis,0.002133333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Myosotis arvensis,0.001833333,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Arabidopsis thaliana,0.016666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Cerastium arvense,0.0035,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
19,4,2011,8,Erodium cicutarium,0.001666667,% flower cover,Flower cover of plants flowering within the two 150Êm_ transects during the pollinator survey was estimated using quadrats,Germany
