Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
Brassica nigra,Nomada flavoguttata,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Nomada flavoguttata,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Lasioglossum lineare,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Nomada tridentirostris,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Brassica nigra,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Lamium purpureum,Anthophora plumipes,1,Transect,120,2000,FR_V02,semi.natural.grass,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Stellaria media,Andrena chrysosceles,1,Transect,120,2000,FR_V02,semi.natural.grass,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Stellaria media,Andrena chrysosceles,1,Transect,120,2000,FR_V02,semi.natural.grass,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena haemorrhoa,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Nomada flavoguttata,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena chrysosceles,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena chrysosceles,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Andrena distinguenda,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Nomada flavoguttata,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Lasioglossum pauxillum,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Lasioglossum glabriusculum,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
Taraxacum,Empis sp. 2,1,Transect,120,2000,FR_V02,Intensive.unmixed.crops,France,C™te d'or,47.3604722,5.1235021,500,234,19,4,2021,Sampling period 1,,
