Survey,Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Total_flower_cover,Collected_insects,Comment
UNIPD01,24,7,2018,UNIPD01_An,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,28,8,2018,UNIPD01_An,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,18,6,2018,UNIPD01_Bn,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,26,6,2018,UNIPD01_Bn,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,12,7,2018,UNIPD01_Bn,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,25,7,2018,UNIPD01_Bn,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,27,6,2018,UNIPD01_C,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,12,7,2018,UNIPD01_C,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,24,7,2018,UNIPD01_C,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,8,2018,UNIPD01_C,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,7,6,2018,UNIPD01_Cn,Achillea_millefolium,17,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,27,6,2018,UNIPD01_Cn,Achillea_millefolium,14,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,24,7,2018,UNIPD01_Cn,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,12,7,2018,UNIPD01_Cn,Achillea_millefolium,7,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,8,2018,UNIPD01_Cn,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_D,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,24,7,2018,UNIPD01_D,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,26,6,2018,UNIPD01_Dn,Achillea_millefolium,4,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,24,7,2018,UNIPD01_Dn,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_Dn,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,27,6,2018,UNIPD01_E,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,25,7,2018,UNIPD01_E,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_E,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,28,8,2018,UNIPD01_E,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,27,6,2018,UNIPD01_En,Achillea_millefolium,3,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,25,7,2018,UNIPD01_En,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_En,Achillea_millefolium,10,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,8,2018,UNIPD01_En,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,6,2018,UNIPD01_G,Achillea_millefolium,25,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,10,6,2018,UNIPD01_G,Achillea_millefolium,57,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,25,7,2018,UNIPD01_G,Achillea_millefolium,15,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_G,Achillea_millefolium,22,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,29,8,2018,UNIPD01_G,Achillea_millefolium,9,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,6,2018,UNIPD01_Gn,Achillea_millefolium,28,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,10,6,2018,UNIPD01_Gn,Achillea_millefolium,37,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,25,7,2018,UNIPD01_Gn,Achillea_millefolium,8,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_Gn,Achillea_millefolium,13,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,29,8,2018,UNIPD01_Gn,Achillea_millefolium,17,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,6,2018,UNIPD01_H,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,26,7,2018,UNIPD01_H,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,14,7,2018,UNIPD01_H,Achillea_millefolium,5,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,29,8,2018,UNIPD01_H,Achillea_millefolium,3,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,28,6,2018,UNIPD01_Hn,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,14,7,2018,UNIPD01_Hn,Achillea_millefolium,7,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,26,7,2018,UNIPD01_Hn,Achillea_millefolium,10,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,29,8,2018,UNIPD01_Hn,Achillea_millefolium,3,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,18,6,2018,UNIPD01_I,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,29,6,2018,UNIPD01_I,Achillea_millefolium,2,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,10,7,2018,UNIPD01_I,Achillea_millefolium,3,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,29,6,2018,UNIPD01_In,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,18,6,2018,UNIPD01_In,Achillea_millefolium,19,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,10,7,2018,UNIPD01_In,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,26,7,2018,UNIPD01_In,Achillea_millefolium,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,27,6,2018,UNIPD01_En,Aegopodium_podagraria,16,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,10,6,2018,UNIPD01_H,Aegopodium_podagraria,4,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,27,6,2018,UNIPD01_C,Anagallis_sp,1,Percentage_of_the_species_at_the_site,NA,N,NA
UNIPD01,24,7,2018,UNIPD01_C,Angelica_sylvestris,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,13,7,2018,UNIPD01_D,Angelica_sylvestris,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,24,7,2018,UNIPD01_D,Angelica_sylvestris,1,Percentage_of_the_species_at_the_site,NA,Y,NA
UNIPD01,25,7,2018,UNIPD01_En,Angelica_sylvestris,1,Percentage_of_the_species_at_the_site,NA,Y,NA
