Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment
17,6,2019,M1Restored,Aquilegia.vulgaris,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Astragalus.cicer,7.75,cover of flowers per 60m2,
17,6,2019,M1Restored,Campanula.glomerata,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Campanula.patula,2.34,cover of flowers per 60m2,
17,6,2019,M1Restored,Campanula.persicifolia,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Centaurea.jacea,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Cerastium.holosteoides,0.25,cover of flowers per 60m2,
17,6,2019,M1Restored,Cirsium.pannonicum,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Crepis.biennis,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Daucus.carota,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Dianthus.carthusianorum,4.625,cover of flowers per 60m2,
17,6,2019,M1Restored,Erigeron.annuus,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Filipendula.vulgaris,0.15,cover of flowers per 60m2,
17,6,2019,M1Restored,Galium.album,1.011111111,cover of flowers per 60m2,
17,6,2019,M1Restored,Genista.tinctoria,2.025,cover of flowers per 60m2,
17,6,2019,M1Restored,Knautia.arvensis,0.26,cover of flowers per 60m2,
17,6,2019,M1Restored,Knautia.kitaibelii,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Lathyrus.latifolius,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Lathyrus.pratensis,1.125,cover of flowers per 60m2,
17,6,2019,M1Restored,Leontodon.hispidus,1.325,cover of flowers per 60m2,
17,6,2019,M1Restored,Leucanthemum.vulgare,3.222222222,cover of flowers per 60m2,
17,6,2019,M1Restored,Linum.catharticum,0.01,cover of flowers per 60m2,
17,6,2019,M1Restored,Lotus.corniculatus,6.6,cover of flowers per 60m2,
17,6,2019,M1Restored,Medicago.falcata,1.58,cover of flowers per 60m2,
17,6,2019,M1Restored,Medicago.lupulina,1.6,cover of flowers per 60m2,
17,6,2019,M1Restored,Medicago.sativa,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Myosotis.arvensis,0.322222222,cover of flowers per 60m2,
17,6,2019,M1Restored,Onobrychis.viciifolia,0.3,cover of flowers per 60m2,
17,6,2019,M1Restored,Plantago.lanceolata,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Plantago.media,0.516666667,cover of flowers per 60m2,
17,6,2019,M1Restored,Prunella.vulgaris,0.961111111,cover of flowers per 60m2,
17,6,2019,M1Restored,Ranunculus.acris,1.9,cover of flowers per 60m2,
17,6,2019,M1Restored,Ranunculus.polyanthemos,2.22,cover of flowers per 60m2,
17,6,2019,M1Restored,Reseda.lutea,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Salvia.pratensis,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Stellaria.graminea,0.5,cover of flowers per 60m2,
17,6,2019,M1Restored,Symphytum.officinale,0.15,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.campestre,1.105555556,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.dubium,0.7,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.hybridum,10.01428571,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.pratense,14.3,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.repens,1.728571429,cover of flowers per 60m2,
17,6,2019,M1Restored,Trifolium.rubens,0.2,cover of flowers per 60m2,
17,6,2019,M1Restored,Veronica.arvensis,0.05,cover of flowers per 60m2,
17,6,2019,M1Restored,Veronica.chamaedrys,0.05,cover of flowers per 60m2,
17,6,2019,M1Restored,Vicia.angustifolia,0.1,cover of flowers per 60m2,
17,6,2019,M1Restored,Vicia.cracca,1.0375,cover of flowers per 60m2,
18,6,2019,M2Natural,Campanula.patula,0.785714286,cover of flowers per 60m2,
18,6,2019,M2Natural,Centaurea.jacea,0.15,cover of flowers per 60m2,
18,6,2019,M2Natural,Cirsium.pannonicum,3.5,cover of flowers per 60m2,
18,6,2019,M2Natural,Crepis.biennis,0.666666667,cover of flowers per 60m2,
18,6,2019,M2Natural,Filipendula.vulgaris,0.15,cover of flowers per 60m2,
18,6,2019,M2Natural,Galium.album,1.35,cover of flowers per 60m2,
18,6,2019,M2Natural,Knautia.arvensis,0.44,cover of flowers per 60m2,
18,6,2019,M2Natural,Knautia.kitaibelii,0.78,cover of flowers per 60m2,
18,6,2019,M2Natural,Lathyrus.pratensis,0.383333333,cover of flowers per 60m2,
18,6,2019,M2Natural,Leucanthemum.vulgare,3.22,cover of flowers per 60m2,
18,6,2019,M2Natural,Linum.catharticum,0.95,cover of flowers per 60m2,
18,6,2019,M2Natural,Lotus.corniculatus,4.111111111,cover of flowers per 60m2,
18,6,2019,M2Natural,Medicago.lupulina,1.175,cover of flowers per 60m2,
18,6,2019,M2Natural,Myosotis.arvensis,0.86,cover of flowers per 60m2,
18,6,2019,M2Natural,Orchis.ustulata,0.1,cover of flowers per 60m2,
18,6,2019,M2Natural,Plantago.media,0.1,cover of flowers per 60m2,
18,6,2019,M2Natural,Platanthera.bifolia,0.1,cover of flowers per 60m2,
18,6,2019,M2Natural,Polygala.comosa,0.807142857,cover of flowers per 60m2,
18,6,2019,M2Natural,Potentilla.reptans,0.05,cover of flowers per 60m2,
18,6,2019,M2Natural,Prunella.vulgaris,0.525,cover of flowers per 60m2,
18,6,2019,M2Natural,Ranunculus.polyanthemos,0.625,cover of flowers per 60m2,
18,6,2019,M2Natural,Rhinanthus.minor,0.6,cover of flowers per 60m2,
18,6,2019,M2Natural,Salvia.pratensis,0.85,cover of flowers per 60m2,
18,6,2019,M2Natural,Trifolium.alpestre,0.2,cover of flowers per 60m2,
18,6,2019,M2Natural,Trifolium.campestre,0.985714286,cover of flowers per 60m2,
