Country,Site_id,Focal_habitat,Units,Day,Month,Year,Plant_species,Flower_count,Species_abbreviation,Inflorescence_unit_used
CH,1,HA,Total.number.of.flower.units.per.m2,10,4,2014,Ajuga.reptans,0.2,aju.rep,Raceme
CH,1,HA,Total.number.of.flower.units.per.m3,10,4,2014,Bellis.perennis,2.9,bel.per,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m4,10,4,2014,Cardamine.pratensis,8.3,car.pra,Flower
CH,1,HA,Total.number.of.flower.units.per.m5,10,4,2014,Carex.hirta,8.05,car.hir,Spike
CH,1,HA,Total.number.of.flower.units.per.m6,10,4,2014,Cerastium.fontanum,3.05,cer.fon,Flower
CH,1,HA,Total.number.of.flower.units.per.m7,10,4,2014,Glechoma.hederacea,32.8,gle.hed,Raceme
CH,1,HA,Total.number.of.flower.units.per.m8,10,4,2014,Lamium.maculatum,0.5,lam.mac,Flowered.stem
CH,1,HA,Total.number.of.flower.units.per.m9,10,4,2014,Medicago.lupulina,1.1,med.lup,Flower
CH,1,HA,Total.number.of.flower.units.per.m10,10,4,2014,Taraxacum.campylodes,3.5,NA,NA
CH,1,HA,Total.number.of.flower.units.per.m11,10,4,2014,Veronica.arvensis,2.95,ver.arv,Flower
CH,1,HA,Total.number.of.flower.units.per.m12,10,4,2014,Veronica.persica,4.6,ver.per,Flower
CH,1,HA,Total.number.of.flower.units.per.m13,7,6,2013,Crepis.capillaris,5.25,cre.cap,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m14,7,6,2013,Knautia.arvensis,0.85,kna.arv,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m15,7,6,2013,Leucanthemum.vulgare,1,leu.vul,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m16,7,6,2013,Lotus.corniculatus,2.0375,lot.cor,Flower
CH,1,HA,Total.number.of.flower.units.per.m17,7,6,2013,Medicago.lupulina,49.7,med.lup,Flower
CH,1,HA,Total.number.of.flower.units.per.m18,7,6,2013,Plantago.lanceolata,0.1,pla.lan,Spike
CH,1,HA,Total.number.of.flower.units.per.m19,7,6,2013,Ranunculus.acris,1.3,ran.acr,Flower
CH,1,HA,Total.number.of.flower.units.per.m20,7,6,2013,Silene.flos.cuculi,12.7,NA,NA
CH,1,HA,Total.number.of.flower.units.per.m21,7,6,2013,Tragopogon.pratensis,0.1,tra.pra,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m22,7,6,2013,Trifolium.pratense,5.4,tri.pra,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m23,7,6,2013,Trifolium.repens,0.1,tri.rep,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m24,7,6,2013,Vicia.sepium,0.1,vic.sep,Raceme
CH,1,HA,Total.number.of.flower.units.per.m25,2,7,2013,Centaurea.jacea,0.7,cen.jac,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m26,2,7,2013,Crepis.capillaris,0.6,cre.cap,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m27,2,7,2013,Lathyrus.pratensis,0.8,lat.pra,Flower
CH,1,HA,Total.number.of.flower.units.per.m28,2,7,2013,Lotus.corniculatus,0.075,lot.cor,Flower
CH,1,HA,Total.number.of.flower.units.per.m29,2,7,2013,Medicago.lupulina,0.6,med.lup,Flower
CH,1,HA,Total.number.of.flower.units.per.m30,2,7,2013,Plantago.lanceolata,0.5,pla.lan,Spike
CH,1,HA,Total.number.of.flower.units.per.m31,2,7,2013,Silene.flos.cuculi,0.8,NA,NA
CH,1,HA,Total.number.of.flower.units.per.m32,2,7,2013,Trifolium.dubium,9.5,tri.dub,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m33,2,7,2013,Trifolium.pratense,0.25,tri.pra,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m34,2,7,2013,Trifolium.repens,2.1,tri.rep,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m35,16,8,2013,Centaurea.jacea,14.1,cen.jac,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m36,16,8,2013,Leontodon.hispidus,0.2,leo.his,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m37,16,8,2013,Lotus.corniculatus,1.25,lot.cor,Flower
CH,1,HA,Total.number.of.flower.units.per.m38,16,8,2013,Medicago.sativa,3.6,med.sat,Flower
CH,1,HA,Total.number.of.flower.units.per.m39,16,8,2013,Picris.hieracioides,0.6,pic.hie,Flower.head
CH,1,HA,Total.number.of.flower.units.per.m40,16,8,2013,Plantago.lanceolata,29.2,pla.lan,Spike
CH,1,HA,Total.number.of.flower.units.per.m41,16,8,2013,Trifolium.pratense,2.85,tri.pra,Flower.head
CH,1,HL,Total.number.of.flower.units.per.m42,10,4,2014,Carex.hirta,2.5,car.hir,Spike
