Day,Month,Year,Site_id,Plant_species,Flower_count,Units,Comment,Comment
6,7,2016,Riez_2016,Achillea millefolium,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Asperula cynanchica,25,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Campanula rapunculus,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Centaurium erythraea,15,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Pilosella officinarum,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Leontodon hispidus,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Leucanthemum vulgare,0.5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Lotus corniculatus,50,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Ononis repens,10,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Prunella vulgaris,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Thymus praecox,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
6,7,2016,Riez_2016,Trifolium pratense,5,Percentage per 1 hectar,"Botanic inventory compiled using the Braun-Blanquet method, and here transformed in covering percentages per 1 hectar of sampling surface",Data from paper #2
