Survey,Plant_species,Pollinator_species,Interaction,Sampling_method,Sampling_effort_minutes,Sampling_area_square_meters,Site_id,Habitat,Country,Locality,Latitude,Longitude,Coordinate_precision,Elevation,Day,Month,Year,Comments,Temperature,Humidity
UNIPD01,Achillea_millefolium,Dinera_fuscata,1,Standardized_observations_on_plants,5,800,UNIPD01_C,Riparian,Italy,Imer,46.129742,11.769039,10_m,580,27,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Sphaerophoria_scripta,1,Standardized_observations_on_plants,5,800,UNIPD01_C,Riparian,Italy,Imer,46.129742,11.769039,10_m,580,27,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Halictus_tumulorum,1,Standardized_observations_on_plants,5,800,UNIPD01_C,Riparian,Italy,Imer,46.129742,11.769039,10_m,580,24,7,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_tenax,3,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,27,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Paragus_tibialis,1,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,27,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Syritta_pipiens,3,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,27,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_tenax,3,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,25,7,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Polyomm+G48atus_icarus,1,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,25,7,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_tenax,1,Standardized_observations_on_plants,5,800,UNIPD01_E,Riparian,Italy,Canal_San_Bovo,46.190895,11.684623,10_m,810,28,8,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Ceratina_cucurbitina,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,28,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Coenonympha_pamphilus,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_arbustorum,3,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_arbustorum,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,28,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Eristalis_tenax,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Halictus_subauratus,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Lasioglossum_pauxillum,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Pieris_rapae,1,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,28,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Sphaerophoria_scripta,10,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,10,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Sphaerophoria_scripta,3,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,28,6,2018,NA,NA,NA
UNIPD01,Achillea_millefolium,Apis_mellifera,11,Standardized_observations_on_plants,5,800,UNIPD01_G,Riparian,Italy,Borgo_Valsugana,46.056389,11.524278,10_m,390,25,7,2018,NA,NA,NA
